seed,recall@5,recall@10,recall@15,recall@20,ndcg@5,ndcg@10,ndcg@15,ndcg@20,precision@5,precision@10,precision@15,precision@20,map@5,map@10,map@15,map@20
1068,0.08503914634728696,0.12636082084030717,0.1538121626865347,0.17767117424947956,0.0850600457228142,0.09876696616915298,0.10791889016961677,0.11560409855867913,0.05651115618661167,0.04351926977687777,0.03631507775523883,0.032089249492902476,0.05613207121929228,0.05906882411329771,0.06127749580548981,0.0630498549061487
1069,0.08507754646921496,0.126736337137664,0.1535226411946265,0.17786848053023815,0.08517515452625223,0.09891976157519429,0.10786205014914564,0.11566151677616884,0.05661257606490783,0.04354969574036663,0.03624070317782166,0.03204868154158401,0.056175794455713246,0.05910981919907151,0.06123536230963471,0.06304540767094914
1070,0.08514580483521705,0.1266525574563618,0.15364963751171573,0.1776165067597661,0.08526234488783628,0.09891630307784437,0.1079976248652639,0.11564758984082829,0.05663286004056705,0.04343813387424086,0.03634888438133755,0.03201318458418036,0.05622760311020951,0.05915843642693322,0.06133042185376862,0.06308134239002569
1071,0.08494425986197994,0.12616426646465104,0.15371809530552635,0.1778234015207976,0.08500889745897687,0.09851946547746936,0.10776719675625797,0.1154798609990785,0.056612576064907806,0.04333671399594469,0.03630155510479935,0.032043610547669195,0.05595982645931928,0.05885754145208503,0.06109095889406649,0.06284890998243366
1072,0.08506791622907536,0.1259491268161219,0.1538254977995671,0.17741260362809558,0.0852265056798829,0.09864230321071377,0.10796241304867739,0.11553663906130357,0.05665314401622629,0.04334685598377432,0.03629479377957961,0.03198782961460632,0.05622379986477344,0.059055642898921804,0.061305047125261206,0.06306586193668957
1073,0.08497923823552793,0.1263029666295558,0.15364307377567826,0.17789368028485236,0.08505459572031886,0.09864169376520168,0.10782610512789524,0.11561025317091471,0.05653144016227089,0.04331643002028545,0.03626774847870064,0.032063894523328425,0.05607175456389446,0.0589819429847288,0.06119659740648758,0.06300016365523105
1074,0.0849821654054636,0.12644188346656926,0.15332977648712473,0.1776319255269634,0.08506244043263303,0.09879630099281553,0.1078136802055112,0.11557637033349029,0.056490872210952434,0.04345841784990011,0.03627450980392037,0.03202332657200997,0.056103673653369324,0.05906812594130868,0.06123893644141825,0.06302611120008995
1075,0.0854129960008616,0.12585506767266352,0.15332867861202976,0.1776139712035027,0.08523439000690003,0.09844129172776979,0.10769581387900362,0.11549144294509471,0.0568559837728186,0.04325557809330779,0.03626774847870064,0.03207403651115804,0.05611840770791069,0.05888989114164164,0.061133908421873356,0.06292948124820284
1076,0.08515098353194588,0.12577727170086234,0.15281570796775912,0.17837198946483424,0.08512958988027385,0.09850739787146517,0.1076722090275255,0.11581124120789267,0.05653144016227088,0.043215010141989314,0.03624746450304141,0.03216531440162458,0.05611313950867693,0.05897015079978331,0.06119043590235141,0.06307607255787685
1077,0.08553362433567976,0.12621999801432646,0.15357070875876006,0.1776878492068647,0.0853104604273586,0.0987123069437651,0.10782865901313064,0.11553873835254,0.056734279918863206,0.043468559837729695,0.03628803245435987,0.03201825557809516,0.056193627450980346,0.05898478197153676,0.06118657507485338,0.06296097754426422
