edge_id,user_id,item_id,original_edge_weight,cosine_similarity
236,13,224,0.978158712,0.999725878
237,13,225,0.980482817,0.999679089
238,13,226,0.991255999,0.999917865
239,13,209,0.988409042,0.999934554
240,13,227,0.983370781,0.99964571
241,13,228,0.982871056,0.999544322
242,13,229,0.984686673,0.99969101
243,13,230,0.988275945,0.999847591
244,13,231,0.978982806,0.999650717
245,13,232,0.793439269,0.999910593
246,13,233,0.983977497,0.999561131
247,13,234,0.975575268,0.999878883
248,13,235,0.978161573,0.999598205
249,13,236,0.99177283,0.999747813
250,13,237,0.994339645,0.999764681
251,13,238,0.993168354,0.999795556
252,13,239,0.992393613,0.99958986
253,13,240,0.976763725,0.999551594
254,13,241,0.987187505,0.999480844
255,13,242,0.936552167,0.999534488
256,13,243,0.987719178,0.99946028
257,13,244,0.977300942,0.999835491
258,13,245,0.977587938,0.999489546
259,13,219,0.98462373,0.9997769
260,13,246,0.981947541,0.99941659
261,13,247,0.986401856,0.999601305
262,14,192,0.986744404,0.999810338
263,14,204,0.94416672,0.999962687
264,14,248,0.97449559,0.999956489
265,14,249,0.98852694,0.999953866
266,14,250,0.975565195,0.99995172
267,14,251,0.987217367,0.99989295
268,14,252,0.813920617,0.999936104
269,14,253,0.991850019,0.999926031
270,14,254,0.991757095,0.999920428
271,14,194,0.983439505,0.999940872
272,14,255,0.974834979,0.999969542
273,14,256,0.950374067,0.999920726
274,14,257,0.983861983,0.999775767
275,14,258,0.818615139,0.999872327
276,14,259,0.947010636,0.999920368
277,14,260,0.959108233,0.999925852
278,14,208,0.976073146,0.999945343
279,14,261,0.923528075,0.999957323
280,14,262,0.938349187,0.99964118
281,14,263,0.987018824,0.999862134
282,14,264,0.976462662,0.999856651
283,14,265,0.987277448,0.9999246
284,14,266,0.92399025,0.99986583
285,14,267,0.981697977,0.999932408
286,14,117,0.96366626,0.999963522
287,14,268,0.988856018,0.99996227
288,14,269,0.982658863,0.999930501
289,14,270,0.991398215,0.999899149
290,14,271,0.988454521,0.999916792
291,14,272,0.983562887,0.999824524
292,14,155,0.862682045,0.999913454
293,14,273,0.966112077,0.999911189
294,14,274,0.97115314,0.999917388
295,14,275,0.980114758,0.999861121
296,14,276,0.927454293,0.999843061
297,14,277,0.987440705,0.999894559
298,14,278,0.982072413,0.999972761
299,14,279,0.961187482,0.999851465
300,14,280,0.930736721,0.999864995
301,14,281,0.987230361,0.999847472
302,14,282,0.982579589,0.999686003
303,14,283,0.990828872,0.999695063
304,14,284,0.984876394,0.999855459
305,14,285,0.986044765,0.999658346
306,14,286,0.992958546,0.999920726
307,14,203,0.993087232,0.999909282
308,14,287,0.989742696,0.999871194
309,14,288,0.99101162,0.999777496
310,14,289,0.994290233,0.999785125
311,14,290,0.980234742,0.999883235
312,14,291,0.985384524,0.999781609
313,15,131,0.988503516,0.999910831
314,15,292,0.986230433,0.999621153
315,15,293,0.991382778,0.999837816
316,15,134,0.985657096,0.999911249
317,15,255,0.665614963,0.999930561
318,15,294,0.850135565,0.998959064
319,15,295,0.962633729,0.999563217
320,15,296,0.846545994,0.999684691
321,15,197,0.94811672,0.999378502
322,15,297,0.980708182,0.999750495
323,15,298,0.950129747,0.999183416
324,15,299,0.975185812,0.999185205
325,15,271,0.978519738,0.999627233
