user_id,selected_test_positive_item,test_positive_count,train_degree,listwise_jsd_mean,listwise_jsd_std_across_permutations,original_positive_probability,permuted_positive_probability_mean,positive_probability_change
88,905,7,7,0.0943174958229,0.0143822645769,0.0518343560398,0.0246279072016,-0.0272064488381
89,208,10,19,0.123600304127,0.0382937341928,0.237528830767,0.1001477018,-0.137381136417
90,2991,6,8,0.0525408871472,0.0197153352201,0.0513392202556,0.0395843535662,-0.0117548666894
91,1104,4,4,0.101726613939,0.0214967913926,0.0149305937812,0.0203570816666,0.00542648788542
92,4667,8,21,0.0880830064416,0.0333116464317,0.0400476828218,0.0390965230763,-0.000951159745455
93,3612,5,19,0.128568053246,0.0096080461517,0.0341134034097,0.208029553294,0.173916146159
94,3168,21,56,0.0606198646128,0.00491020129994,0.00229576742277,0.00475794635713,0.00246217893437
95,313,91,253,0.0799007117748,0.0312287956476,0.0439723320305,0.164561703801,0.120589375496
96,3408,10,36,0.0799165144563,0.0175723750144,0.0577272176743,0.0204524938017,-0.0372747257352
97,312,3,13,0.076194293797,0.0399731807411,0.0409235619009,0.0619762130082,0.0210526511073
98,106,6,10,0.0941918119788,0.0250950828195,0.0139600271359,0.00802643969655,-0.00593358743936
100,747,1,9,0.167817547917,0.0348504334688,0.517423212528,0.120623171329,-0.396800041199
101,788,1,10,0.0884343385696,0.0197294186801,0.0423822961748,0.0365212000906,-0.00586109608412
102,299,21,52,0.0603569149971,0.0288814660162,0.00160264223814,0.00821679551154,0.0066141532734
103,6285,8,29,0.112360328436,0.0129234287888,0.00448652589694,0.00447890721262,-7.61868432164e-06
104,5172,37,106,0.217544570565,0.0421081967652,0.00199311994947,0.00144186150283,-0.000551258446649
105,891,5,12,0.0735509395599,0.0384673438966,0.0037417660933,0.0143576674163,0.0106159010902
106,693,11,48,0.104614168406,0.0337055698037,0.26820102334,0.229479625821,-0.0387213975191
107,2566,3,5,0.16024287045,0.0208927541971,0.0254527255893,0.0381023325026,0.0126496069133
108,5012,4,4,0.102470077574,0.0299666151404,0.0132946632802,0.0248969197273,0.0116022564471
109,1351,3,20,0.0970492139459,0.0234041772783,0.00341766490601,0.00531405815855,0.00189639325254
110,3494,3,5,0.137104809284,0.0206034108996,0.0179587174207,0.00834670010954,-0.00961201731116
111,6466,2,5,0.0707363933325,0.020027205348,0.0817006677389,0.0997427105904,0.0180420428514
112,4071,7,9,0.0974016413093,0.0347659103572,0.187976151705,0.297245979309,0.109269827604
113,7318,1,7,0.0844453647733,0.0031879551243,0.00506828911602,0.01199760288,0.00692931376398
114,1867,6,24,0.0852667316794,0.0159795731306,0.00642655277625,0.0189202148467,0.0124936625361
115,596,6,10,0.105089478195,0.00949018169194,0.0904196724296,0.0930208191276,0.002601146698
116,8601,4,8,0.14355610311,0.00798359885812,0.03724995628,0.0132245831192,-0.0240253731608
117,7759,7,39,0.0797968283296,0.0316298902035,0.00125600479078,0.00144629133865,0.000190286547877
118,5267,9,14,0.148383930326,0.0638662278652,0.0115866037086,0.0152761125937,0.00368950888515
119,4705,36,143,0.150695875287,0.0601719506085,0.0159120112658,0.0694707855582,0.0535587742925
120,1980,20,66,0.108241699636,0.00589329143986,0.0107526397333,0.0261188000441,0.0153661603108
121,6429,5,17,0.043265234679,0.00826823618263,0.0550885125995,0.0183789599687,-0.0367095544934
122,4866,2,8,0.116033740342,0.00942993164062,0.0345605909824,0.118902660906,0.0843420699239
123,2246,57,184,0.105812221766,0.0203530285507,0.0254571866244,0.00934960599989,-0.0161075815558
124,8246,57,147,0.247070550919,0.125785857439,0.00181616051123,0.00183903786819,2.28773569688e-05
125,3766,15,68,0.161683142185,0.0626186355948,0.0180452801287,0.0206711161882,0.00262583605945
126,7892,14,49,0.0615771412849,0.0119040468708,0.00125126668718,0.00425889855251,0.00300763174891
127,2397,39,89,0.153169170022,0.0126808527857,0.000971184810624,0.0023316629231,0.00136047811247
128,1591,9,10,0.0840067639947,0.0180303622037,0.0241948720068,0.0823582112789,0.0581633374095
129,831,20,55,0.173879206181,0.0493109300733,0.0408619232476,0.0139479981735,-0.0269139260054
130,2183,11,35,0.0892624482512,0.00430492591113,0.0928788930178,0.111831121147,0.0189522281289
